id,description,fr
certificate.isCertificateCorrect,Question asking the user if the information on the  certificate is correct,Le certificat {event} est-il correct ?
certificate.parent.details.label.age,Person age,L'âge
certificate.parent.details.label.dateOfBirth,Parent Date of Birth,Date de naissance
certificate.parent.details.label.familyName,Parent last name,Nom
certificate.parent.details.label.familyNameInEng,Parent last name,Nom
certificate.parent.details.label.firstName,Parent first names,Prénom(s)
certificate.parent.details.label.firstNameInEng,Parent first names,Prénom(s)
certificate.parent.details.label.nationality,Parent Nationality,Nationalité
certificate.parent.details.label.number,Parent number,Numéro
certificate.parent.details.label.typeOfID,Parent Type of ID,Type de document d'identité
certificate.receipt.amount,Amount paid for certificate label,Montant payé:
certificate.receipt.amountDue,The label for due amount,Tarif certificat
certificate.receipt.birthService.after,Amount due on certificate for birth label,Déclaration de la naissance après {target} jours de la date de naissance
certificate.receipt.birthService.before,Amount due on certificate for birth label before target days,Déclaration de la naissance avant {target} jours de la date de naissance
certificate.receipt.birthService.between,Amount due on certificate for birth label,Déclaration de la naissance entre {target} jours et {latetarget} jours de la date de naissance
certificate.receipt.deathService.after,Amount due on certificate for death label,Déclaration du décès après {target} jours de la date du décès
certificate.receipt.deathService.before,Amount due on certificate for death label before target days,Déclaration du décès avant {target} jours de la date du décès
certificate.receipt.header,Receipt header for payment on certificate,Reçu pour {event} Certificat de
certificate.receipt.issuedAt,Receipt on payment on certificate issued at label,Délivré à :
certificate.receipt.issuer,Issuer information for receipt of certificate payment label,"Par : {role}, {name}
 Date de paiement : {dateOfPayment}"
certificate.receipt.marriageService.after,Amount due on certificate for marriage label,Enregistrement du mariage après {target} jours de la date du mariage
certificate.receipt.marriageService.before,Amount due on certificate for marriage label before target days,Enregistrement du mariage avant {target} jours de la date du mariage
certificate.receipt.service,Service received for receipt label,Service
certificate.receipt.subheader,Subheader for receipt on payment on certificate,{event} Déclaration après {DOBDiff} de {DOE}
certificate.selectTemplate,The title of select certificate template action,Taper
certificate.selectedTemplate,The title of selected certificate template label,Modèle de certificat sélectionné
changeEmail.validation.msg,Phone number validation message,Doit être une adresse e-mail valide
changeModal.continue,The label for continue button of change modal,Continuer
changeModal.description,The description for change modal,Un enregistrement sera créé pour toute modification que vous apporterez
changeModal.title,The title for change modal,Modifier la déclaration ?
changePhone.validation.msg,Phone number validation message,Doit être un numéro valide à {num} chiffres qui commence par {start}.
config.advanced.search,This is used for the advanced search,Recherche avancée
config.advanced.search.instruction,This is used for the advanced search,Sélectionnez les options pour construire une recherche avancée. Un minimum de deux paramètres de recherche est requis.
config.application.birthTabTitle,The title for birth tab,Naissance
config.application.birthTabTitleExport,The title for birth tab for VSExport,Naissances
config.application.deathTabTitle,The title for death tab,Décès
config.application.deathTabTitleExport,The title for death tab for VSExport,Décès
config.application.emptystate,Vital Statistics Export Empty State Text,Les données statistiques vitales du mois précédent (basées sur les enregistrements d'événements vitaux survenus au cours de ce mois) seront disponibles pour l'exportation à partir du 1er de chaque mois. Les grands fichiers CSV ne peuvent pas être ouverts dans Excel et doivent donc être ouverts dans un programme statistique tel que {posit}.
config.application.export,Download Export CSV,Export
config.application.vitalStatistics,Vital Statistics Export,"Mois-{month}-Farajaland-{event, select, birth{birth} death{death} other{birth}}-événement-statistiques.csv {fileSize}"
config.application.vsExportDownloadFailed,Vital Statistics Export Empty State Text,Désolé ! Quelque chose s'est mal passé
config.application.vsexport,VS Export tab,Statistiques vitales
config.certTemplate,Label for certificate templates,Modèle de certificat
config.certificate.options,Show options,Options
config.emailAllUsers.modal.supportingCopy,Label for send email all users confirmation supporting copy,L'utilisateur recevra des courriels au cours des prochaines 24 heures
config.emailAllUsers.modal.title,Label for send email all users confirmation title,Envoyer un e-mail à tous les utilisateurs ?
config.emailAllUsers.subtitle,Subtitle for email all users,Cet e-mail sera envoyé à tous les utilisateurs qui sont actifs. Les courriels seront envoyés au cours des prochaines 24 heures. Un seul courriel peut être envoyé par jour
config.emailAllUsers.title,Title for email all users,Envoyer un e-mail à tous les utilisateurs
config.userRoles.language,Language name,"{language, select, en {Anglais} fr {Français} other {{language}}}"
configuration.dateFormat,Default format for date values,d MMMM y
configuration.timeField.outputFormat,Default format for time values,hh:mm a
configuration.timeFormat,Time format for timestamps in event history,"MMMM dd, yyyy · hh.mm a"
conflicts.modal.assign.description,Description for modal when assign,"Veuillez noter que vous aurez un accès exclusif à cet enregistrement. Veuillez effectuer rapidement les mises à jour éventuelles, sinon vous désassignez l'enregistrement."
conflicts.modal.assign.title,Title for modal when assign,Attribuer un enregistrement ?
conflicts.modal.assigned.description,Description for modal when record already assigned,{name} à {officeName} a un accès unique et modifiable à cet enregistrement.
conflicts.modal.assigned.title,Title for modal when record already assigned,Enregistrement assigné
conflicts.modal.regUnassign.description,Description for modal when registrar wants to unassign an assigned user,"{name} de {officeName} a actuellement le seul accès éditable à cet enregistrement. Si vous désassignez cet enregistrement, ses modifications actuelles seront perdues. Veuillez confirmer que vous souhaitez continuer."
conflicts.modal.selfUnassign.description,Description for modal when user wants to unassign him/herself,La désaffectation de cet enregistrement entraînera la perte de toutes les modifications en cours. Veuillez confirmer que vous souhaitez continuer.
conflicts.modal.unassign.title,Title for modal when unassign record,Désaffecter l'enregistrement ?
constants.PIN,PIN label,Code Pin
constants.address,Label for address,Adresse
constants.ageVerificationApiUser,The description for AGE_VERIFICATION_API_USER role,Service API de vérification de l'âge
constants.allEvents,Label for select option All events,Tous les événements
constants.allStatuses,Label for select option All statuses,Tous les statuts
constants.apiUser,The description for API_USER role,Utilisateur API
constants.application.title,Application title,Application
constants.applicationName,Declaration name of CRVS,OpenCRVS
constants.archived_declaration,Application has been archived,Archivé
constants.assignRecord,A label for the Assign record -button,Affecter un enregistrement
constants.audit,Audit heading,Audit
constants.averageRateOfRegistrations,A label for Average rate of registrations,Moyenne {amount}% de la valeur
constants.birth,A label from the birth event,Naissance
constants.births,A label from the births event,Naissances
constants.by,Label for By (the person who performed the action),Par
constants.certificate.title,Certificate title,Certificat
constants.certificationPaymentTitle,Label for certification payment performance reports,"Paiement perçu pour les certificats {event, select, birth{birth} death{death} other{birth}}."
constants.certified,A label for certified,certifié
constants.cha,The description for CHA type,CHA
constants.chairman,The description for CHAIRMAN type,Président
constants.collected,The status label for collected,Collecté par
constants.collectedBy,The collected by sec text,Collecté par
constants.collectorDetails,Label for collector details,Information  du collecteur
constants.comment,Label for rejection comment,Commentaire
constants.communityLeader,The description for Community Leader type,Chef de communauté
constants.countryName,Name of the OpenCRVS implementation country,Farajaland
constants.customTimePeriod,Label for Custom time period,Période personnalisée
constants.dataEntryClerk,The description for DATA_ENTRY_CLERK type,Commis à la saisie des données
constants.dateOfDeclaration,Date of declaration label,Date de la déclaration
constants.death,A label from the death event,Décès
constants.deaths,A label from the deaths event,Décès
constants.declaration,A label for declaration,Déclaration
constants.declarationCollectedOn,Label for the workflow timestamp when the status is collected,Certificat collecté le
constants.declarationFailedOn,Label for the workflow timestamp when the status is failed,Échec de l'envoi le
constants.declarationRegisteredOn,Label for the workflow timestamp when the status is registered,Enregistré le
constants.declarationRejectedOn,Label for the workflow timestamp when the status is rejected,Déclaration rejetée le
constants.declarationRequestedCorrectionOn,Label for the workflow timestamp when the status is requested correction,Déclaration demandant une correction le
constants.declarationSentForExternalValidationOn,Label for the workflow timestamp when the status is waiting_validation,Déclaration envoyée pour validation externe le
constants.declarationStarted,Label for table header column Declaration started,Déclaration commencée
constants.declarationStartedBy,Label for table header column Started by,Initiéé par
constants.declarationStartedOn,Label for the workflow timestamp when the status is draft created,initiée le
constants.declarationState,A label to describe when the declaration was actioned on,Déclaration {action} le
constants.declarationSubmittedOn,Label for the workflow timestamp when the status is declaration,Déclaration soumise le
constants.declarationUpdatedOn,Label for the workflow timestamp when the status is draft updated,Mise à jour le
constants.declarationValidatedOn,Label for the workflow timestamp when the status is validated,Déclaration révisée le
constants.declarations,Declaration title,Déclarations
constants.declarationsCount,A label for declarations count,Déclarations ({totalItems})
constants.declrationArchivedOn,Label for the workflow timestamp when the status is archived,Demande archivée le
constants.districtRegistrar,The description for DISTRICT_REGISTRAR role,Officier d'état civil de district
constants.dnrpc,The description for DNRPC type,DNRPC
constants.dob,Date of birth label,D.o.B.(Date de naissance)
constants.dod,Label for DoD in work queue list item,D.o.D. (date de décès)
constants.downloaded,Label for application download status Downloaded,Téléchargé
constants.downloading,Label for declaration download status Downloading,Téléchargement...
constants.draft,A label for draft,Brouillon
constants.duplicateOf,table header for `duplicate of` in record audit,Duplicata de
constants.emailAddress,Label used for email address input field,Adresse e-mail
constants.emailBody,Label for email body input,Message
constants.emailSubject,Label for email subject input,Sujet
constants.entrepeneur,The description for ENTREPENEUR type,Entrepeneur
constants.estimatedNumberOfEvents,A label for Estimated number of events,"Estimation{lineBreak}no. de {eventType, select, naissance {birth} décès {death} autre {birth}}s"
constants.estimatedNumberOfRegistartion,A label for estimated no. of registrations,Nombre estimé déclaration
constants.estimatedTargetDaysRegistrationTitle,A label for estimated vs total registered in {registrationTargetDays} days,Estimation du nombre total de déclarations dans les {registrationTargetDays} jours
constants.event,Label for Event of event in work queue list item,Événement
constants.eventDate,Label for event date in list item,Date de l'événement
constants.eventType,Label for table header column Event type,évènement
constants.export,Label used for export,Export
constants.failedToSend,Label for declaration status Failed,Echec de l'envoi
constants.female,The duplicates text for female,Femme
constants.femaleOver18,Label for femaleOver18,Femme de plus de 18 ans
constants.femaleUnder18,Label for femaleUnder18,Femme de moins de 18 ans
constants.fieldAgent,The description for FIELD_AGENT role,Agent de terrain
constants.form.title,Form Declaration title,Formulaires de déclaration
constants.from,Label for text From,De
constants.gender,Gender label,Sexe
constants.healthDivision,The description for HEALTH_DIVISION type,Division de la santé
constants.healthcareWorker,The description for Healthcare Worker type,Travailleur de la santé
constants.history,History heading,Histoire
constants.humanName,A localized order of the full name,{firstName} {middleName} {lastName}
constants.id,ID Label,ID
constants.idCheckWithoutVerify,Issuance without the confirmation of proof,Continuer sans preuve d'identité?
constants.inReview.status,A label for In Review,En cours de révision
constants.incomplete.status,A label for Incomplete,Incomplet
constants.informant,Informant Label,Informateur
constants.informantContactNumber,The title of contact number label,Numéro de contact de l'informateur
constants.integrations,Integration title,Intégrations
constants.issueCertificate,Label for issue certificate,Certificat de délivrance
constants.issueConfirmationMessage,Confirmation of issuance,Veuillez confirmer que le certificat a été délivré à l'informateur ou au collecteur.
constants.issueToBride,Issuing to bride,Délivré à) la mariée
constants.issueToFather,Issuing to father,Délivré au père
constants.issueToGroom,Issuing to groom,délivré au marié
constants.issueToInformant,Issuance of death to informant,"Delivré à l'informateur ({informant, select, MOTHER {Mère} FATHER {Père} GRANDFATHER {Grand-père} GRANDMOTHER {Grand-mère} BROTHER {Frère} SISTER {Sœur} LEGAL_GUARDIAN {Tuteur légal} BRIDE {Mariée} GROOM {Marié} HEAD_OF_GROOM_FAMILY {Chef de la famille du marié} HEAD_OF_BRIDE_FAMILY {Chef de la famille de la mariée} SPOUSE {Conjoint} SON {Fils} DAUGHTER {Fille} SON_IN_LAW {Beau-fils} DAUGHTER_IN_LAW {Belle-fille} GRANDSON {Petit-fils} GRANDDAUGHTER {Petite-fille} other {{informant}}})"
constants.issueToMother,Issuing to mother,Délivré à la mère
constants.issueToSomeoneElse,Issuing to someone else,Délivrer à quelqu'un d'autre
constants.issuedBy,The issued by sec text,Délivré par
constants.label.action,Action Label,Action
constants.label.date,Date Label,Date
constants.language,language label,Langue
constants.last12Months,Label for preset date range Last 12 months,12 derniers mois
constants.last30Days,Label for  preset date range Last 30 days,30 derniers jours
constants.lastEdited,Label for rejection date in work queue list item,Dernière édition
constants.lastUpdated,Label for Last updated in list item,Dernière mise à jour
constants.loadMore,A label for load more,Charger plus
constants.localRegistrar,The description for LOCAL_REGISTRAR role,Officier d'état civil de district
constants.location,Label for location,Situation géographique
constants.male,The duplicates text for male,Homme
constants.maleOver18,Label for maleOver18,Homme de plus de 18 ans
constants.maleUnder18,Label for maleUnder18,Homme Moins de 18 ans
constants.marriage,A label from the marriage event,Mariage
constants.marriages,A label from the marriages event,Mariages
constants.matchedTo,table header for `Matched to` in record audit,Apparié à
constants.mayor,The description for MAYOR type,Maire
constants.month,Label for month,Mois
constants.name,Name label,Nom
constants.nationalRegistrar,The description for NATIONAL_REGISTRAR role,Administrateur civil
constants.nationalSystemAdmin,The description for System admin (national),Administrateur du système national
constants.noConnection,No Connection hover text,Pas de connexion
constants.noNameProvided,Label for empty title,Aucun nom fourni
constants.noResults,Text to display if the search return no results for the current filters,Aucun résultat
constants.noResultsOutbox,Text to display if there is no items in outbox,Aucun document à traiter
constants.notificationApiUser,The description for NOTIFICATION_API_USER role,Rôle de l'API de notification
constants.notificationSent,label for notification sent,Notification envoyée
constants.orgDivision,The description for ORG_DIVISION type,Division ORG
constants.over5Years,Label for registrations over 5 years,Plus de 5 ans
constants.password,Password label,Mot de passe
constants.pendingConnection,Label for declaration status Pending Connection,Connexion en attente
constants.percentageOfEstimation,A label for percentage of estimate,Pourcentage de l'estimation
constants.performance,Performance title,Performance
constants.performanceManagement,The description for Performance Management role,Responsable de la performance
constants.phoneNumber,Label used for phone number input field,Numéro de téléphone
constants.policeOfficer,The description for Police Officer type,Agent de police
constants.reason,Label for rejection correction reason,Raison
constants.record,Label for header table header Record,Dossier
constants.refresh,label for refresh,Rafraîchir
constants.registered,A label for registered,Enregistré
constants.registered.status,A label for registered,Enregistré
constants.registeredAt,Label for comparison row registeredAt type,Enregistré à
constants.registeredBy,Label for comparison row registeredBy type,Enregistré par
constants.registeredInTargetd,A label for Registered in {registrationTargetDays} days,Enregistré dans les {registrationTargetDays} jours
constants.registeredWithinTargetd,A label for Registered {registrationTargetDays} within  days of event,Enregistré dans un délai de{lineBreak}{registrationTargetDays} jours de l'événement
constants.registrationAgent,The description for REGISTRATION_AGENT role,Agent d'enregistrement
constants.registrationNumber,Label for registered number,N° d'enregistrement
constants.rejected,A label for rejected,rejeté
constants.rejectedDays,The title of rejected days of declaration,Rejeté {text}
constants.relationship,Relationship Label for death,Relation
constants.requestReason,Label for Reason the declaration was corrected,Motif de la demande
constants.requestedCorrection,A label for requested correction,correction demandée
constants.requireUpdatesLoading,The text when all rejected declarations are loading,Vérifier vos déclarations
constants.requiresUpdates.status,A label for Requires updates,Nécessite des mises à jour
constants.review,A label from the review button,Examen
constants.role,Role label,Rôle
constants.search,The title of the page,Recherche
constants.secretary,The description for SECRETARY type,Secrétaire
constants.sending,Label for declaration status Submitting,Envoi...
constants.sentForApproval,label for sent for approval,Envoyé pour approbation
constants.sentForReview,label for sent for review,Envoyé pour révision
constants.sentForUpdates,label for sent for updates,Envoyé pour les mises à jour
constants.sentForUpdatesOn,Label for rejection date in work queue list item,Envoyé pour les mises à jour sur
constants.sentForValidation,label for sent for validation,Envoyé pour validation
constants.sentOn,Label for rejection date in work queue list item,Envoyé le
constants.sent_incomplete,Declaration submitted without completing the required fields,Envoyé incomplet
constants.showMore,Label for show more link,Afficher la page suivante {pageSize}
constants.skipToMainContent,Label for a keyboard accessibility link which skips to the main content,Sauter au contenu principal
constants.socialWorker,The description for Hospital Clerk type,Commis d'hôpital
constants.startedAt,Label for Started At in list item,Initié par
constants.startedBy,Label for Started by in list item,Initié par
constants.stateRegistrar,The description for STATE_REGISTRAR role,Administrateur civil
constants.status,Title for column,Statut
constants.submissionStatus,Label for table header of column Submission status,Statut de soumission
constants.submitted,A label for submitted,soumis
constants.systemrole,System Role label,Rôle du système
constants.timeFramesTitle,Header for tabel performance timeframs,"{event, select, birth{Birth} death{Death} other{Birth}} enregistré par période, à partir de la date de l'événement"
constants.timeInProgress,Label for column Time in progress,Temps en cours
constants.timePeriod,A label for Time period,Période de temps
constants.timeReadyForReview,Label for column Time in ready for review,"Temps de traitement dans ""prêt pour examen"" "
constants.timeReadyToPrint,Label for column Time in ready to print,"Temps de traitement dans ""prêt pour imprimer"" "
constants.timeRequireUpdates,Label for column Time in require updates,"Temps de traitement dans ""attente de mis à jour"" "
constants.timeWaitingExternalValidation,Label for column Time in external validation BRIS,"Temps de traitement dans ""validation externe"" "
constants.timeWatingApproval,Label for column Time in waiting for approval,"Temps de traitement dans ""attente d'approbation"" "
constants.to,Used in sentence,jusqu'à
constants.toCapitalized,Label for To,Jusqu'à
constants.total,Label for total,Total
constants.totalFileSizeExceed,Accumulated File size exceed message,La taille totale des documents dépasse {fileSize}. Veuillez réduire la taille de vos téléchargements
constants.totalRegistered,A label for Total registered,Total{lineBreak}enregistré
constants.totalRegisteredInTargetDays,A label for total registered in {registrationTargetDays} days,Total enregistré en {registrationTargetDays} jours
constants.trackingId,Search menu tracking id type,ID de suivi
constants.type,Label for type of event in work queue list item,Type
constants.update,The title of reject button in list item actions,Mise à jour
constants.updated,Application has been updated,Mise à jour de
constants.updated_declaration,Declaration has been updated,Déclaration actualisée
constants.user,The name of the user form,Utilisateur
constants.user.role,Label for role input in user creation,Rôle
constants.username,The name of the user name form,Nom d'utilisateur
constants.validated,A label for validated,validés
constants.validatorApiUser,The description for VALIDATOR_API_USER role,Rôle de l'API du validateur
constants.viewAll,Label for view all link,Afficher tout
constants.waitingToSend,Label for declaration status Ready to Submit,En attente d'envoi
constants.waitingValidated,A label for waitingValidated,En attente de validation
constants.waitingValidation,A label for waitingValidation,envoyé pour validation
constants.week,Label for week,Semaine
constants.within1YearTo5Years,Label for registrations within 1 year to 5 years,1 an - 5 ans
constants.withinTargetDays,Label for registrations within {registrationTargetDays} days,Dans les {registrationTargetDays} jours
constants.withinTargetDaysTo1Year,Label for registrations within {registrationTargetDays} days to 1 year,{registrationTargetDays} jours - 1 an
correction.certificate.corrector.idCheck,The title for id check component,Vérifier leur identité
correction.certificate.corrector.idCheckVerify,The label for id check component action when verify details,Vérifié
correction.certificate.corrector.idCheckWithoutVerify,The label for id check component action when does not verify details,L'identité ne correspond pas
correction.certificate.corrector.otherIdCheck,The title for other id check component,Avez-vous vérifié leur preuve d'identification ?
correction.correctRecordDialog.description,The description for the dialog when record correction sent by a registrar,L'approbation de cette correction mettra définitivement à jour le registre officiel.
correction.correctRecordDialog.title,The title for the dialog when record correction sent by a registrar,enregistrement correct?
correction.correctionForApprovalDialog.actions.cancel,The cancel button for the dialog when record correction sent by registration agent for approval,Annuler
